,Job Title,Salary Estimate,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,new_title,loc_city,hq_city
591,Data Reporting Analyst,$57K-$103K,3.5,Robert Half,"Los Angeles, CA","Menlo Park, CA",10000+ employees,1948,Company - Public,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD),Reporting Analyst,Los Angeles,Menlo Park
592,Senior Data Analyst,$57K-$103K,4.0,Fox Corporation,"Los Angeles, CA","New York, NY",5001 to 10000 employees,2019,Company - Public,TV Broadcast & Cable Networks,Media,Unknown / Non-Applicable,Senior Analyst,Los Angeles,New York
593,Business Data Analyst,$57K-$103K,5.0,Connect International,"Los Angeles, CA","West Roxbury, MA",1 to 50 employees,-1,Nonprofit Organization,-1,-1,Unknown / Non-Applicable,Data Analyst,Los Angeles,West Roxbury
594,Business Data Analyst,$57K-$103K,4.5,PUBG Santa Monica,"Los Angeles, CA","Seoul, South Korea",501 to 1000 employees,2017,Company - Private,Video Games,Media,Unknown / Non-Applicable,Data Analyst,Los Angeles,Seoul
595,Epidemiologist Data Analyst-Urology,$57K-$103K,4.0,UCLA Health,"Los Angeles, CA","Los Angeles, CA",5001 to 10000 employees,1919,Company - Public,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,Data Analyst,Los Angeles,Los Angeles
596,Mid-Senior Data Analyst,$57K-$103K,3.5,Robert Half,"Los Angeles, CA","Menlo Park, CA",10000+ employees,1948,Company - Public,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD),Senior Analyst,Los Angeles,Menlo Park
597,Associate Player Support Data Analyst,$57K-$103K,3.4,Activision Blizzard,"El Segundo, CA","Santa Monica, CA",10000+ employees,1979,Company - Public,Video Games,Media,$5 to $10 billion (USD),Reporting Analyst,El Segundo,Santa Monica
598,BI/Data Analyst,$57K-$103K,2.1,The Loot Company,"Los Angeles, CA","Los Angeles, CA",201 to 500 employees,2012,Company - Private,Other Retail Stores,Retail,Unknown / Non-Applicable,Data Analyst,Los Angeles,Los Angeles
599,"Sr. Data Analyst, Ad Operations",$57K-$103K,3.8,System1,"Venice, CA","Venice, CA",201 to 500 employees,2013,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Data Analyst,Venice,Venice
600,Data Analyst Junior,$35K-$45K,5.0,"Staffigo Technical Services, LLC","Los Angeles, CA","Woodridge, IL",51 to 200 employees,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),Analyst Junior,Los Angeles,Woodridge
601,"Customer Insights Manager, Senior Data Analyst | Mobile",$35K-$45K,-1.0,Elever Professional,"Los Angeles, CA","Austin, TX",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,Senior Analyst,Los Angeles,Austin
602,Research Sr. Data Analyst - Kaiser Permanente Bernard J. Tyson School of Medicine,$35K-$45K,4.0,Kaiser Permanente,"Pasadena, CA","Oakland, CA",10000+ employees,1945,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$10+ billion (USD),Analytics Solutions,Pasadena,Oakland
603,"Senior Business Technology Analyst - Big Data (Los Angeles area, CA)",$35K-$45K,3.8,ZS Associates,"Los Angeles, CA","Evanston, IL",5001 to 10000 employees,1983,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,Business Intelligence,Los Angeles,Evanston
604,Financial Data Analyst,$35K-$45K,3.8,Tecolote Research,"El Segundo, CA","Goleta, CA",501 to 1000 employees,1973,Company - Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),Data Analyst,El Segundo,Goleta
605,Enterprise Data Quality Analyst - EDM,$35K-$45K,3.6,City National Bank,"Los Angeles, CA","Los Angeles, CA",1001 to 5000 employees,1954,Subsidiary or Business Segment,Banks & Credit Unions,Finance,Unknown / Non-Applicable,Data Analyst,Los Angeles,Los Angeles
606,Survey Data Analyst,$35K-$45K,4.9,Cypress HCM,"Los Angeles, CA","Walnut Creek, CA",51 to 200 employees,2005,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,Data Analyst,Los Angeles,Walnut Creek
607,Data Analyst/SQL/Healthcare Or Medical OR Clinical,$35K-$45K,-1.0,"Infonex Technologies, Inc.","Pasadena, CA","Santa Clara, CA",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable,Healthcare Data,Pasadena,Santa Clara
608,Data Analyst Manager,$35K-$45K,-1.0,Oakwood Search - CHURN,"Los Angeles, CA",-1,-1,-1,-1,-1,-1,-1,Data Analyst,Los Angeles,-1
609,Enterprise Data Analyst,$35K-$45K,3.6,City National Bank,"Los Angeles, CA","Los Angeles, CA",1001 to 5000 employees,1954,Subsidiary or Business Segment,Banks & Credit Unions,Finance,Unknown / Non-Applicable,Data Analyst,Los Angeles,Los Angeles
610,MEDIA DATA ANALYST,$35K-$45K,-1.0,Bloom Ads Global Media Group,"Los Angeles, CA",-1,-1,-1,-1,-1,-1,-1,Data Analyst,Los Angeles,-1
611,Data Analyst - Personalization,$35K-$45K,3.4,"Internet Brands, Inc.","Los Angeles, CA","El Segundo, CA",1001 to 5000 employees,1998,Company - Private,Internet,Information Technology,$1 to $2 billion (USD),Data Analyst,Los Angeles,El Segundo
612,Data Systems Analyst III,$35K-$45K,-1.0,ESP Legal,"Los Angeles, CA",-1,-1,-1,-1,-1,-1,-1,Data Analyst,Los Angeles,-1
613,Data Analyst / Developer,$35K-$45K,4.1,Kforce,"Los Angeles, CA","Tampa, FL",10000+ employees,1966,Company - Public,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD),Data Analyst,Los Angeles,Tampa
614,Senior Data Bi Analyst,$35K-$45K,3.4,"Apollo Medical Holdings, Inc.","Alhambra, CA","Sandy, UT",1 to 50 employees,-1,Company - Private,-1,-1,Less than $1 million (USD),Senior Analyst,Alhambra,Sandy
615,"Operations Analyst, Data Governance",$35K-$45K,3.7,Turner Broadcasting,"Burbank, CA","New York, NY",10000+ employees,2003,Subsidiary or Business Segment,TV Broadcast & Cable Networks,Media,$10+ billion (USD),Data Governance,Burbank,New York
616,"Analyst, Data (Pharmacy & SQL)",$35K-$45K,3.1,Molina Healthcare,"Long Beach, CA","Long Beach, CA",10000+ employees,1980,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),Analyst Data,Long Beach,Long Beach
617,"Sr. Business Analyst, Data Science and Analytics",$35K-$45K,3.0,Beautycounter,"Santa Monica, CA","Santa Monica, CA",201 to 500 employees,2013,Company - Private,"Health, Beauty, & Fitness",Consumer Services,Unknown / Non-Applicable,Business Intelligence,Santa Monica,Santa Monica
618,Enterprise Data Quality Analyst - EDM,$35K-$45K,3.5,Genuent,"Los Angeles, CA","Houston, TX",201 to 500 employees,2006,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),Data Analyst,Los Angeles,Houston
619,Microsoft Dynamics CRM Data Analyst,$35K-$45K,3.7,IBM,"Los Angeles, CA","Armonk, NY",10000+ employees,1911,Company - Public,IT Services,Information Technology,$10+ billion (USD),Data Analyst,Los Angeles,Armonk
620,"Marketing Data Analyst, Teleflora",$35K-$45K,3.6,The Wonderful Company LLC,"Los Angeles, CA","Los Angeles, CA",5001 to 10000 employees,1980,Company - Private,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion (USD),Data Analyst,Los Angeles,Los Angeles
621,Senior Customer Data Analyst : 20,$35K-$45K,4.6,Akraya Inc.,"Los Angeles, CA","Santa Clara, CA",51 to 200 employees,2001,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),Senior Analyst,Los Angeles,Santa Clara
622,REMOTE Data Analyst - POWER BI+MONGO+ DAX EXPERIENCE,$35K-$45K,-1.0,Catasys Health,"Santa Monica, CA",-1,-1,-1,-1,-1,-1,-1,Data Analyst,Santa Monica,-1
623,Senior Data Analyst - User Growth,$35K-$45K,3.8,TikTok,"Los Angeles, CA","Los Angeles, CA",1001 to 5000 employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Senior Analyst,Los Angeles,Los Angeles
624,Automotive Data Analyst,$35K-$45K,2.7,MotorTrend Group,"El Segundo, CA","Los Angeles, CA",501 to 1000 employees,1948,Company - Public,TV Broadcast & Cable Networks,Media,Unknown / Non-Applicable,Data Analyst,El Segundo,Los Angeles
625,Data Analyst - Product,$35K-$45K,3.4,Mercury Insurance Group,"Brea, CA","Los Angeles, CA",1001 to 5000 employees,1961,Company - Public,Insurance Carriers,Insurance,$2 to $5 billion (USD),Data Analyst,Brea,Los Angeles
626,"Sr. Analyst, Data",$35K-$45K,3.1,Molina Healthcare,"Long Beach, CA","Long Beach, CA",10000+ employees,1980,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),Analyst Data,Long Beach,Long Beach
627,Senior Data Insights Analyst,$35K-$45K,-1.0,Endpoint Closing,"El Segundo, CA","El Segundo, CA",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,Reporting Analyst,El Segundo,El Segundo
628,Bilingual (Chinese) Data Analyst,$42K-$66K,3.7,Tripalink,"Los Angeles, CA","Los Angeles, CA",1 to 50 employees,2016,Company - Public,Real Estate,Real Estate,Unknown / Non-Applicable,Analyst Analyst,Los Angeles,Los Angeles
629,Systems and Data Analyst - SQL,$42K-$66K,-1.0,Ottimo Resources,"Duarte, CA","Carson, CA",Unknown,-1,Company - Public,-1,-1,Unknown / Non-Applicable,Data Analyst,Duarte,Carson
630,Data Entry Analyst,$42K-$66K,3.6,Ajilon,"Woodland Hills, CA","Jacksonville, FL",1001 to 5000 employees,1994,Company - Public,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),Data Analyst,Woodland Hills,Jacksonville
631,"Sr Analyst, Data Operations",$42K-$66K,5.0,WB Technology,"Burbank, CA","Bishnupur , India",Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable,Analyst Data,Burbank,Bishnupur 
632,Data Intelligence Analyst II,$42K-$66K,4.0,Prosum,"Los Angeles, CA","El Segundo, CA",201 to 500 employees,1996,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),Data Analyst,Los Angeles,El Segundo
633,Business Analyst / Data Analyst with Financial Industry Experience,$42K-$66K,3.0,INSPIRE IT Solutions,"Monterey Park, CA","Hyderabad, India",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,Business Intelligence,Monterey Park,Hyderabad
634,Sr. Data Analyst,$42K-$66K,3.3,Saicon Consultants Inc,"Burbank, CA","Overland Park, KS",201 to 500 employees,1998,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),Data Analyst,Burbank,Overland Park
635,Investment Reporting Data Analyst,$42K-$66K,-1.0,"Recruiting Resources, Inc.","El Segundo, CA","Los Angeles, CA",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,Reporting Analyst,El Segundo,Los Angeles
636,Jr. Data Analyst (Jr. DA),$42K-$66K,4.0,"Prime MSO, LLC.","Glendale, CA","Dayton, OH",1 to 50 employees,-1,Company - Private,Health Care Services & Hospitals,Health Care,$1 to $5 million (USD),Data Analyst,Glendale,Dayton
637,Sr. Business Data Analyst,$42K-$66K,4.9,KORE1 Technologies,"Santa Monica, CA","Irvine, CA",51 to 200 employees,2005,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),Data Analyst,Santa Monica,Irvine
638,Data Reporting Analyst,$42K-$66K,3.6,Axelon Services Corporation,"Pasadena, CA","New York, NY",501 to 1000 employees,-1,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),Reporting Analyst,Pasadena,New York
639,Pricing Data Analyst,$42K-$66K,3.6,City National Corporation,"Los Angeles, CA","Los Angeles, CA",1001 to 5000 employees,1954,Subsidiary or Business Segment,Banks & Credit Unions,Finance,Unknown / Non-Applicable,Data Analyst,Los Angeles,Los Angeles
640,Senior Data Engineer & Analyst,$42K-$66K,5.0,Pddn,"Pasadena, CA","Fremont, CA",51 to 200 employees,-1,Company - Private,"Health, Beauty, & Fitness",Consumer Services,Less than $1 million (USD),Reporting Analyst,Pasadena,Fremont
641,Principal Data Management Analyst,$42K-$66K,3.8,Northrop Grumman,"Woodland Hills, CA","Falls Church, VA",10000+ employees,1939,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),Data Management,Woodland Hills,Falls Church
642,Sr. Data Analyst,$42K-$66K,4.3,"ConsultNet, LLC","Burbank, CA","South Jordan, UT",201 to 500 employees,1996,Company - Private,Staffing & Outsourcing,Business Services,$50 to $100 million (USD),Data Analyst,Burbank,South Jordan
643,Sr Data Analyst (DW),$42K-$66K,4.2,"Aviana Global Technologies, Inc","Los Angeles, CA","Brea, CA",1 to 50 employees,1994,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),Data Analyst,Los Angeles,Brea
644,"Data Analyst, Product",$42K-$66K,3.9,Jam City,"Culver City, CA","Los Angeles, CA",501 to 1000 employees,2010,Company - Private,Video Games,Media,Unknown / Non-Applicable,Data Analyst,Culver City,Los Angeles
645,"Digital Media Data Analyst, Apple TV+",$42K-$66K,4.1,Apple,"Culver City, CA","Cupertino, CA",10000+ employees,1976,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),Data Analyst,Culver City,Cupertino
646,Data Intelligence Analyst,$42K-$66K,3.4,"EMINENT, INC.","Cerritos, CA","Williamsville, NY",1 to 50 employees,-1,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),Data Analyst,Cerritos,Williamsville
647,"Operations Analyst, Data Governance",$42K-$66K,5.0,WB Technology,"Burbank, CA","Bishnupur , India",Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable,Data Governance,Burbank,Bishnupur 
648,Sr. Data Analyst,$42K-$66K,3.8,Dollar Shave Club,"Marina del Rey, CA","Marina del Rey, CA",201 to 500 employees,2011,Company - Private,Beauty & Personal Accessories Stores,Retail,Unknown / Non-Applicable,Data Analyst,Marina del Rey,Marina del Rey
649,Data Technician/Analyst/Specialist,$42K-$66K,3.5,"Leo Tech, LLC","Long Beach, CA","Singapore, Singapore",51 to 200 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,Data Analyst,Long Beach,Singapore
650,Senior Data Analyst,$42K-$66K,3.8,TikTok,"Culver City, CA","Los Angeles, CA",1001 to 5000 employees,2016,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Senior Analyst,Culver City,Los Angeles
651,Research Data Analyst,$42K-$66K,-1.0,"Recargo, Inc., makers of PlugShare","El Segundo, CA",-1,-1,-1,-1,-1,-1,-1,Data Analyst,El Segundo,-1
652,【1yr OPT+Intern】Data Analyst 保实习保就业,$42K-$66K,-1.0,Easyfind Company,"Arcadia, CA","Noida, India",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,Data Analyst,Arcadia,Noida
653,Heightened Standards Data Analyst,$42K-$66K,3.6,City National Bank,"Beverly Hills, CA","Los Angeles, CA",1001 to 5000 employees,1954,Subsidiary or Business Segment,Banks & Credit Unions,Finance,Unknown / Non-Applicable,Data Analyst,Beverly Hills,Los Angeles
654,Corporate: Data Analyst,$42K-$66K,3.4,"U.S. Auto Parts Network, Inc.","Torrance, CA","Carson, CA",1001 to 5000 employees,1995,Company - Public,Automotive Parts & Accessories Stores,Retail,$100 to $500 million (USD),Data Analyst,Torrance,Carson
655,Sr Data Analyst,$42K-$66K,3.1,MyLife.com,"Los Angeles, CA","Los Angeles, CA",1 to 50 employees,2002,Company - Private,Internet,Information Technology,$10 to $25 million (USD),Data Analyst,Los Angeles,Los Angeles
656,Data Analyst I- ON SITE POSITION,$42K-$66K,1.0,Center for Family Health and Education,"Panorama City, CA","Panorama City, CA",1 to 50 employees,-1,Company - Public,-1,-1,Unknown / Non-Applicable,Data Analyst,Panorama City,Panorama City
657,"Analyst, Data",$42K-$66K,3.1,Molina Healthcare,"Long Beach, CA","Long Beach, CA",10000+ employees,1980,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),Analyst Data,Long Beach,Long Beach
658,Senior Data Analyst,$65K-$81K,4.7,DISQO,"Glendale, CA","Glendale, CA",51 to 200 employees,2014,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,Senior Analyst,Glendale,Glendale
659,Credit Data Analyst,$65K-$81K,-1.0,Dot 818,"Glendale, CA",-1,-1,-1,-1,-1,-1,-1,Data Analyst,Glendale,-1
660,Sr Performance Metrics Data Analyst,$65K-$81K,-1.0,BBCN Bank,"Los Angeles, CA",-1,-1,-1,-1,-1,-1,-1,Reporting Analyst,Los Angeles,-1
661,Sr. Data Analyst,$65K-$81K,-1.0,Launch Infotech,"Signal Hill, CA",-1,-1,-1,-1,-1,-1,-1,Data Analyst,Signal Hill,-1
662,Junior Data Analyst,$65K-$81K,3.9,Tech Air,"Long Beach, CA","Danbury, CT",201 to 500 employees,1935,Company - Private,Industrial Manufacturing,Manufacturing,$100 to $500 million (USD),Data Analyst,Long Beach,Danbury
663,SENIOR DATA BI ANALYST,$65K-$81K,2.5,Network Medical Management Inc,"Alhambra, CA","Alhambra, CA",501 to 1000 employees,1994,Company - Public,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,Data Analyst,Alhambra,Alhambra
664,Data Analyst - MS Access & Excel,$65K-$81K,3.5,Midcom,"Azusa, CA","Anaheim, CA",51 to 200 employees,1979,Company - Private,Consulting,Business Services,$10 to $25 million (USD),Data Analyst,Azusa,Anaheim
665,Data Analyst (Asset Management / eDiscovery),$65K-$81K,3.8,Odesus,"Burbank, CA","Los Angeles, CA",51 to 200 employees,2001,Company - Private,Consulting,Business Services,$5 to $10 million (USD),Data Management,Burbank,Los Angeles
666,Jr. Data Analyst,$65K-$81K,3.8,Login Consulting Services,"El Segundo, CA","El Segundo, CA",51 to 200 employees,-1,Company - Private,Consulting,Business Services,$5 to $10 million (USD),Data Analyst,El Segundo,El Segundo
667,Sr. Data Analyst,$65K-$81K,4.0,Unilever,"Marina del Rey, CA","London, United Kingdom",10000+ employees,1872,Company - Public,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),Data Analyst,Marina del Rey,London
668,"Data Analyst - Health, Experienced",$65K-$81K,4.1,Blue Shield of California,"Woodland Hills, CA","Oakland, CA",5001 to 10000 employees,1939,Nonprofit Organization,Insurance Carriers,Insurance,$10+ billion (USD),Data Analyst,Woodland Hills,Oakland
669,Product/Data Analyst,$65K-$81K,-1.0,Clear Technology Consulting,"Glendale, CA",-1,-1,-1,-1,-1,-1,-1,Data Analyst,Glendale,-1
670,Junior Data Analyst,$65K-$81K,3.8,Airgas,"Long Beach, CA","Radnor, PA",10000+ employees,1982,Company - Public,Chemical Manufacturing,Manufacturing,$5 to $10 billion (USD),Data Analyst,Long Beach,Radnor
671,Reporting Data Analyst,$65K-$81K,3.0,Apollo Global Management,"El Segundo, CA","New York, NY",1001 to 5000 employees,1990,Company - Public,Venture Capital & Private Equity,Finance,$1 to $2 billion (USD),Reporting Analyst,El Segundo,New York
672,Data Intelligence Analyst,$65K-$81K,3.3,Revolve,"Cerritos, CA","Cerritos, CA",201 to 500 employees,2003,Company - Public,"Department, Clothing, & Shoe Stores",Retail,Unknown / Non-Applicable,Data Analyst,Cerritos,Cerritos
673,"Data Analyst-Cerritos, CA",$65K-$81K,5.0,Georgia IT Inc.,"Cerritos, CA","Alpharetta, GA",1 to 50 employees,-1,Company - Private,-1,-1,Less than $1 million (USD),Data Analyst,Cerritos,Alpharetta
674,Digital Marketing Data Analyst,$65K-$81K,-1.0,"Recargo, Inc., makers of PlugShare","El Segundo, CA",-1,-1,-1,-1,-1,-1,-1,Reporting Analyst,El Segundo,-1
675,Sr Performance Metrics Data Analyst,$65K-$81K,2.6,Bank Of Hope,"Los Angeles, CA","Los Angeles, CA",201 to 500 employees,-1,Company - Public,-1,-1,$100 to $500 million (USD),Reporting Analyst,Los Angeles,Los Angeles
676,Student Data Compliance Analyst,$65K-$81K,3.3,KIPP SoCal Public Schools,"Los Angeles, CA","Los Angeles, CA",1001 to 5000 employees,2003,Nonprofit Organization,K-12 Education,Education,$50 to $100 million (USD),Data Analyst,Los Angeles,Los Angeles
677,Data Quality Control Analyst,$65K-$81K,3.5,Genuent,"Glendale, CA","Houston, TX",201 to 500 employees,2006,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),Data Analyst,Glendale,Houston
678,Senior Data Management Analyst,$65K-$81K,3.0,Apollo Global Management,"El Segundo, CA","New York, NY",1001 to 5000 employees,1990,Company - Public,Venture Capital & Private Equity,Finance,$1 to $2 billion (USD),Data Management,El Segundo,New York
679,Sr. Data Analyst,$65K-$81K,2.8,SAG-AFTRA Health Plan and SAG-Producers Pension Plan,"Burbank, CA","Burbank, CA",Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable,Data Analyst,Burbank,Burbank
680,Data Analyst HEDIS Star,$65K-$81K,3.2,SCAN Health Plan,"Long Beach, CA","Long Beach, CA",501 to 1000 employees,1977,Nonprofit Organization,Insurance Carriers,Insurance,$2 to $5 billion (USD),Data Analyst,Long Beach,Long Beach
681,Senior Data Analyst,$65K-$81K,4.7,PlayQ,"Santa Monica, CA","Santa Monica, CA",51 to 200 employees,2007,Company - Private,Video Games,Media,Unknown / Non-Applicable,Senior Analyst,Santa Monica,Santa Monica
682,Sr. Data Analyst,$65K-$81K,3.1,Molina Healthcare,"Long Beach, CA","Long Beach, CA",10000+ employees,1980,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),Data Analyst,Long Beach,Long Beach
683,SAP Master Data Analyst,$65K-$81K,2.5,"NetSource, Inc.","Los Angeles, CA","Bolton, CT",51 to 200 employees,-1,Company - Private,Consumer Products Manufacturing,Manufacturing,$10 to $25 million (USD),Data Analyst,Los Angeles,Bolton
684,Service Operations Data Analyst,$65K-$81K,3.3,"Quinn Group, Inc.","City of Industry, CA","City of Industry, CA",501 to 1000 employees,1919,Company - Private,Commercial Equipment Repair & Maintenance,"Construction, Repair & Maintenance",Unknown / Non-Applicable,Reporting Analyst,City of Industry,City of Industry
685,Data Analyst I,$65K-$81K,-1.0,"zz-Tarzana Treatment Centers, Inc.","Northridge, CA",-1,-1,-1,-1,-1,-1,-1,Data Analyst,Northridge,-1
686,Senior Data Management Analyst,$65K-$81K,-1.0,"Recruiting Resources, Inc.","El Segundo, CA","Los Angeles, CA",1 to 50 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,Data Management,El Segundo,Los Angeles
687,System and Data Analyst,$113K-$132K,2.9,Pacific Clinics,"Arcadia, CA","Arcadia, CA",501 to 1000 employees,1926,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD),Data Analyst,Arcadia,Arcadia
688,Service Operations Data Analyst,$113K-$132K,5.0,Quinn Group,"City of Industry, CA","Taipei, Taiwan",51 to 200 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,Reporting Analyst,City of Industry,Taipei
689,SAP Master Data Analyst,$113K-$132K,-1.0,DT Professional Services,"Los Angeles, CA","Canoga Park, CA",1 to 50 employees,2013,Company - Public,-1,-1,Less than $1 million (USD),Data Analyst,Los Angeles,Canoga Park
690,Business Analyst Asset Data Management,$113K-$132K,4.0,NRC INC,"Los Angeles, CA","Boca Raton, FL",51 to 200 employees,-1,Company - Private,-1,-1,Unknown / Non-Applicable,Data Management,Los Angeles,Boca Raton
691,Sr Digital Marketing Data Analyst (PAID SOCIAL),$113K-$132K,5.0,LaBine & Associates,"Santa Monica, CA","San Mateo, CA",1 to 50 employees,2013,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,Reporting Analyst,Santa Monica,San Mateo
692,19-0574 - Service Operations Data Analyst,$113K-$132K,3.3,Quinn Company CAT,"City of Industry, CA","City of Industry, CA",501 to 1000 employees,1919,Company - Private,Commercial Equipment Repair & Maintenance,"Construction, Repair & Maintenance",Unknown / Non-Applicable,Reporting Analyst,City of Industry,City of Industry
693,Discovery Data Analyst,$113K-$132K,2.9,"NTT DATA, Inc.","Burbank, CA","Singapore, Singapore",201 to 500 employees,-1,Company - Private,Accounting,Accounting & Legal,Unknown / Non-Applicable,Data Analyst,Burbank,Singapore
694,"Analyst, Financial Master Data",$113K-$132K,5.0,WB Technology,"Burbank, CA","Bishnupur , India",Unknown,-1,Company - Private,-1,-1,Unknown / Non-Applicable,Analyst Analyst,Burbank,Bishnupur 
695,Data Analyst-HEDIS & Star,$113K-$132K,3.2,SCAN Health Plan,"Long Beach, CA","Long Beach, CA",501 to 1000 employees,1977,Nonprofit Organization,Insurance Carriers,Insurance,$2 to $5 billion (USD),Data Analyst,Long Beach,Long Beach
696,Music Copyright Data Analyst,$113K-$132K,3.3,AppleOne,"Woodland Hills, CA","Glendale, CA",1001 to 5000 employees,1964,Company - Private,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD),Data Analyst,Woodland Hills,Glendale
697,Sr. Data Analyst,$113K-$132K,3.8,Login Consulting Services,"El Segundo, CA","El Segundo, CA",51 to 200 employees,-1,Company - Private,Consulting,Business Services,$5 to $10 million (USD),Data Analyst,El Segundo,El Segundo
698,Sr. Data Analyst,$113K-$132K,-1.0,Shapestone Inc.,"Burbank, CA",-1,-1,-1,-1,-1,-1,-1,Data Analyst,Burbank,-1
699,Sr. Data Governance Analyst,$113K-$132K,4.0,Lorven Technologies Inc,"Arcadia, CA","Plainsboro, NJ",1 to 50 employees,-1,Company - Private,Accounting,Accounting & Legal,Less than $1 million (USD),Data Governance,Arcadia,Plainsboro
700,"Data Analyst - Health, Senior",$113K-$132K,4.1,Blue Shield of California,"Woodland Hills, CA","Oakland, CA",5001 to 10000 employees,1939,Nonprofit Organization,Insurance Carriers,Insurance,$10+ billion (USD),Analyst Senior,Woodland Hills,Oakland
701,Data Analyst-HEDIS & Star,$113K-$132K,-1.0,SCAN Healthplan,"Long Beach, CA",-1,-1,-1,-1,-1,-1,-1,Data Analyst,Long Beach,-1
702,Data Entry Clerk and Analyst - Financial,$113K-$132K,2.8,Information Technology Partners,"Burbank, CA","Chicago, IL",51 to 200 employees,1991,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),Data Analyst,Burbank,Chicago
703,"Analyst, Financial Master Data",$113K-$132K,3.9,Warner Bros. Entertainment,"Burbank, CA","Burbank, CA",5001 to 10000 employees,1923,Company - Public,Motion Picture Production & Distribution,Media,$10+ billion (USD),Analyst Analyst,Burbank,Burbank
704,Senior Clinical Data Analyst,$113K-$132K,3.4,Providence Health & Services,"Gardena, CA","Renton, WA",10000+ employees,1855,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),Senior Analyst,Gardena,Renton
705,Sr. Data Analyst (Pharmacy),$113K-$132K,3.1,Molina Healthcare,"Long Beach, CA","Long Beach, CA",10000+ employees,1980,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),Data Analyst,Long Beach,Long Beach
706,"Sr Analyst, Data",$113K-$132K,3.1,Molina Healthcare,"Long Beach, CA","Long Beach, CA",10000+ employees,1980,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),Analyst Data,Long Beach,Long Beach
707,Systems and Data Analyst,$113K-$132K,2.4,To Help Everyone Health & Wellness Centers,"Los Angeles, CA","Los Angeles, CA",201 to 500 employees,-1,Nonprofit Organization,-1,-1,Unknown / Non-Applicable,Data Analyst,Los Angeles,Los Angeles
708,"Analyst, Financial Master Data",$113K-$132K,3.7,Turner Broadcasting,"Burbank, CA","New York, NY",10000+ employees,2003,Subsidiary or Business Segment,TV Broadcast & Cable Networks,Media,$10+ billion (USD),Analyst Analyst,Burbank,New York
709,Copyright Data Analyst,$113K-$132K,3.3,AppleOne,"Woodland Hills, CA","Glendale, CA",1001 to 5000 employees,1964,Company - Private,Staffing & Outsourcing,Business Services,$1 to $2 billion (USD),Data Analyst,Woodland Hills,Glendale
